Total number of row buffer updates : 15

Total number of instructions executed completely per core: -

Core 1: 19

CPI: 10.4737

Memory contents (non-zero) 

1000-1003 = 1

Cycle numbers  Instructions CORE1          Register CORE1           MRM                                                                                                 DRAM                                              Fowarded instructions (if any)                                                                      
165            IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
166            IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
167            IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
168            IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
169            IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
170            IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
171            IDLE                        IDLE                     IDLE                                                                                                Column Access 1000                                ----
172            IDLE                        IDLE                     passing new instruction to DRAM: sw $t2 1004                                                        Column Access 1000                                ----
173            lw $t1, 5000($zero)         $t1 = 1                  IDLE                                                                                                Column Access 1004                                ----
174            IDLE                        IDLE                     Pushing into MRM Buffer                                                                             1004-1007=0                                       ----
175            IDLE                        IDLE                     Finding a new row for DRAM                                                                          IDLE                                              ----
176            IDLE                        IDLE                     passing new instruction to DRAM: lw $t1 5000                                                        IDLE                                              ----
177            IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
178            IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
179            IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
180            IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
181            IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
182            IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
183            IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
184            IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
185            IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
186            IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
187            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
188            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
189            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
190            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
191            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
192            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
193            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
194            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
195            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
196            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
197            IDLE                        IDLE                     IDLE                                                                                                Column Access 904                                 ----
198            IDLE                        IDLE                     IDLE                                                                                                Column Access 904                                 ----
199            IDLE                        $t1 = 0                  IDLE                                                                                                IDLE                                              ----
200            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
201            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
202            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
203            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
204            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
205            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
206            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
207            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
208            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
209            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
210            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
211            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
212            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
213            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
214            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
215            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
216            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
217            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
218            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
219            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
220            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
221            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
222            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
223            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
224            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
225            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
226            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
227            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
228            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
229            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
230            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
231            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
232            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
233            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
234            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
235            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
236            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
237            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
238            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
239            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
240            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
241            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
242            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
243            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
244            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
245            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
246            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
247            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
248            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
249            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
250            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
251            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
252            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
253            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
254            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
255            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
256            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
257            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
258            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
259            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
260            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
261            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
262            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
263            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
264            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
265            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
266            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
267            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
268            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
269            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
270            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
271            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
272            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
273            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
274            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
275            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
276            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
277            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
278            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
279            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
280            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
281            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
282            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
283            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
284            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
285            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
286            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
287            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
288            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
289            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
290            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
291            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
292            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
293            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
294            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
295            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
296            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
297            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
298            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
299            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----
300            IDLE                        IDLE                     IDLE                                                                                                IDLE                                              ----

